Gmt time,Open,High,Low,Close,Volume
22.11.2020 22:00:00.000,1.18564,1.19062,1.18001,1.18416,348759.82710000005
23.11.2020 22:00:00.000,1.18415,1.18963,1.18374,1.18930,326354.4061000001
24.11.2020 22:00:00.000,1.18939,1.19299,1.18820,1.19177,335234.23299999995
25.11.2020 22:00:00.000,1.19177,1.19411,1.18855,1.19144,219063.98819999993
26.11.2020 22:00:00.000,1.19148,1.19650,1.19075,1.19650,254103.6093
27.11.2020 22:00:00.000,1.19650,1.19650,1.19650,1.19650,0
28.11.2020 22:00:00.000,1.19650,1.19650,1.19650,1.19650,0
29.11.2020 22:00:00.000,1.19627,1.20034,1.19238,1.19284,394990.1194999999
30.11.2020 22:00:00.000,1.19290,1.20768,1.19268,1.20716,535255.2745
01.12.2020 22:00:00.000,1.20715,1.21187,1.20401,1.21167,495075.4582000001
02.12.2020 22:00:00.000,1.21159,1.21748,1.21012,1.21462,442302.198
03.12.2020 22:00:00.000,1.21497,1.21776,1.21105,1.21229,425573.51570000005
04.12.2020 22:00:00.000,1.21229,1.21229,1.21229,1.21229,0
05.12.2020 22:00:00.000,1.21229,1.21229,1.21229,1.21229,0
06.12.2020 22:00:00.000,1.21329,1.21664,1.20788,1.21114,450209.9701
07.12.2020 22:00:00.000,1.21105,1.21343,1.20957,1.21041,362083.63149999996
08.12.2020 22:00:00.000,1.21043,1.21476,1.20590,1.20832,272366.16549999994
09.12.2020 22:00:00.000,1.20827,1.21592,1.20751,1.21402,228705.11969999998
10.12.2020 22:00:00.000,1.21390,1.21631,1.21056,1.21173,192270.46829999998
11.12.2020 22:00:00.000,1.21173,1.21173,1.21173,1.21173,0
12.12.2020 22:00:00.000,1.21173,1.21173,1.21173,1.21173,0
13.12.2020 22:00:00.000,1.21390,1.21768,1.21158,1.21444,156604.95859999995
14.12.2020 22:00:00.000,1.21448,1.21691,1.21213,1.21516,142812.75969999997
15.12.2020 22:00:00.000,1.21515,1.22123,1.21252,1.22010,171137.47939999995
16.12.2020 22:00:00.000,1.22006,1.22729,1.21901,1.22701,159828.39250000005
17.12.2020 22:00:00.000,1.22685,1.22723,1.22257,1.22596,155034.79539999994
18.12.2020 22:00:00.000,1.22596,1.22596,1.22596,1.22596,0
19.12.2020 22:00:00.000,1.22596,1.22596,1.22596,1.22596,0
20.12.2020 22:00:00.000,1.22272,1.22531,1.21299,1.22464,232035.43060000002
21.12.2020 22:00:00.000,1.22463,1.22573,1.21523,1.21650,213011.9896
22.12.2020 22:00:00.000,1.21654,1.22214,1.21540,1.21897,184811.13980000003
23.12.2020 22:00:00.000,1.21897,1.22161,1.21775,1.21898,169188.7807
24.12.2020 22:00:00.000,1.21872,1.22054,1.21720,1.22000,6518.8550000000005
25.12.2020 22:00:00.000,1.22000,1.22000,1.22000,1.22000,0
26.12.2020 22:00:00.000,1.22000,1.22000,1.22000,1.22000,0
27.12.2020 22:00:00.000,1.21903,1.22506,1.21815,1.22182,207389.06130000006
28.12.2020 22:00:00.000,1.22183,1.22752,1.22082,1.22514,191796.03970000002
